TRUE|Truck Equipment Service Co.Lincoln, Nebraska
MNAR|Monarch (Sweden)
BELF|Bell Mfg. Corp.
DART|Dart
PRIJ|Pride & Joy Mini Motor Home
CORY|Corey Enterprises
SAUB|SAUBER MANUFACTURING COMPANY; VIRGIL, IL
HUSQ|Husqvarna
JAMM|JAMMER CYCLE PRODUCTS, INC BURBANK, CA
WEST|Westways Mfg.
TRAP|Transit
ANTO|Anton Mfg. Co.
MAL|Mal Tractor
TKNG|TIMBERKING, INC
SEWR|SEWER EQUIPMENT CO. OF AMERICA
BRRO|Burro, Inc.Plymouth, Minnesota
NOEL|Noel Mfg.
GUST|Gustafson Mfg. Co., Inc.
JAYS|Jays Hy Lift Manufacturing Co.
AMME|Ammex
NISS|Nissan
TRAB|Trabant
SOUD|SOUDRE KERR, INC.; COOKSHIRE, QUEBEC CANADA
BOYR|Boyer Industries
GRAE|Grace, W. E., Manufacturing Co.
ARIT|Arista
FIAT|Fiat
ALAS|Alaskan Camper
CAMF|Camp Four Industries, Inc.
OPEL|Opel (imported by Buick)
BAME|Bame Three Axle Trailer
EZCK|E-Z Camper (or Kamper)
TLMC|Ozark TrailwayMfd. by Tri-Lakes Mfg. Co., Inc.
JOLI|Johnny Lightning
WHIS|George White & Sons Co., Ltd.,(Canada)
RAVE|Ravens-Metal Products, Inc.Parkersburg, West Virginia
BREI|Brent IndustriesShell Rock, Iowa
APPL|Appleby Camper Trailer
TWEN|Twentieth Century Mfg. Co.or 20th Century Mfg. Co.
HUBE|J. M. Huber Corp.
BROK|Broken Arrow Mobile Home
KENT|Kentucky Mfg. Co.Louisville, Kentucky
BZEL|B & Z Electric Car Co.
ZUND|Zundapp
HEIT|Heilite Trailers, Inc.
AUBN|Auburn Homes
HICO|HICO Corp. of America
TETO|Teton Travel Trailer
BYSN|BYSON TRAILERS
FORD|Ford (also see English, French,German, and Italian Ford)
FMC|FMC Corp.
HYCA|Hycaloader Co., Inc.
WYNO|Wynona Corp.Nappanee, Indiana
CLIH|Cliff Hall, Inc.
SAIJ|St. Joseph Marine Trailer
CUAS|CassMfd. by Custom Assembly
BSA|BSA (United Kingdom)
LECT|Lectracan
ENER|Energy Mfg. Co.
MAIC|Maico (West Germany)
SHAN|Shanghai Jialing Vehicle Business Co., Ltd.
STAN|Standard
SOVA|Sovam
ALLA|Allard
COMY|CommuneMfd. by Community Homes, Inc.
FELL|Fellwon Trailer
OTAS|Otasco
TLTR|Trailite Trailer
POLA|Polar Mfg. Co.Holdingford, Minnesota
MTTI|M.T. Trailers, Inc.
PION|Pioneer Sales & Mfg. Co.
BERM|Bermar Mfg. Corp.
TRSY|Tri-Pak Systems Co.Louisville, Kentucky
UMOG|UNIMOG
SPTR|SUPERIOR TRAILERS OF GA. INC.; DANIELSVILLE, GA
ITAV|Italvelo
CAMA|Cambridge Homes, Inc.
TROP|Tropicana Mfg. Co.
WORI|Worthington Compressors, Inc.Holyoke, Massachusetts
TACO|Tacoma Trailer
BADC|Badger Construction Equipment Co.,Division of Burro-Badger Corp.
EZDU|EZ Dumper
BALE|BaleMuvr
HILP|Hilltopper Mfg. Corp.
USCA|U.S. CARGO, INC
AAWS|A-A WELDING SERVICEMOUNT PLEASANT, TEXAS_; ANS OR CLINT R. WOODS INC
TBC|Travel Cruiser
CHIE|Chief Ocala Trailer Mfg.
STRE|Streamline Trailer Co.
KISS|KISSEL MOTOR CAR COMPANY OR KISSEL INDUSTRIES
AAB|A.A.B. Co., Inc.
CONO|Condor Coach
ATLA|Atlantic Coast Camper
APAE|Apache Corp.
ALTE|Altec IndustriesIndianapolis, Indiana
EXHE|EXCELSIOR-HENDERSON MOTORCYCLES
ROBM|Robinhood Motor Homes, Inc.Redondo Beach, California
BEAM|Beach-Craft Motor Homes Corp.Elkhart, Indiana
HEIL|Heil Co.
BMTR|Boat Master TrailersFt. Myers, FL
KWNS|Kensington Welding & Trailer Co.Kensington, Connecticut
OWAT|Owatonna Manufacturing Co., Inc.
WYNN|Wynn Trailer Works
CARR|Carrie-Craft Div.Div. Thrift Cts. of America
ABCC|ABC Coach Co.From 1960 on, see Vought Industries
KONT|Kontiki Camper Trailer
MCOX|MECOX RESOURCES SA DE CV; MEXICO
WERS|Werts Corp., Inc.
COMA|Comanche Mobile Homes
MORT|Moritz, Inc.Mansfield, Ohio
GLND|G & G TRAILERS; GILLIAND & GILLIAND; PRESTON GILLIAND, HALLS, TN
EMBA|Embassy HomesDiv. of Guerdon Industries
CUKE|Cuke, Inc.Mendota, Illinois
AMIN|Advance MixerFt. Wayne, IN; truck, front dischargetransit mix
BERG|Bergantine
HIGC|High Country Trailer Sales & Mfg.
CHAC|Challenge-Cook Brothers, Inc.Industry, California
PEND|Pendlay
RUST|Rustler Horse Trailer
BOMF|Bomford & Evershed, Ltd. (England)
DOWE|Downer Industries
CAND|Canadian Trailmobile Ltd.
ROCT|Rockport Trailer Mfg. Corp.
BUCY|Bucyrus-Erie Co.
TRBC|Trav Otel Industries
BULT|Bultaco (Spain)
DWTE|Down (2) Earth Trailers
WSTI|Western Trailers IncCo-Tem Corp. Boise, Idaho
TZ|TZ
MBCC|McBurnie Coach Craft, Inc.
KIPC|Kipco
KNGS|Kingsway Travel Trailer
PUZE|Puzey Bros., Inc.Fairmont, Illinois
CABK|Campus Bike
JJNE|J-J-N ENTERPRISES; SISKETON,MO
OSHK|Oshkosh Motor Truck Co.
CURR|CURRAHEE TRAILERS
HERT|Herter Snowmobile Trailer
BAIN|Bainbridge Motor Home
GATP|Gator Products, Inc.Jacksonville, Florida
MARS|Mars Camper Co.
LKWD|Lakewood
BRWD|Broward Trailer
CADI|Cadillac
HYLT|Hylton Homes, Inc.Phil Campbell, Alabama
SUPE|Superior Motor Home
PULD|Pull-Do Trailers
CHER|Cherokee Mobile Homes
TNTL|TN TRAILERS, LLC; SHIPSHEWANA, INDIANA
OKLH|Oklahoma Trailer, Inc.Mfrs. boat trailers--Kingfisher,Oklahoma
BOBC|Bob Coons
FRRS|Ferris Ind.
TOWM|Tow Mobile Forklift
CLOV|Cloud Electric Vehicles
ROKW|Rockwood, Inc.Millersburg, Indiana
AMDI|Agricultural Machinery Div.Div. FMC--mfrs the Bean sprayer
CALD|E. L. Caldwell & Sons, Inc.
THMP|Thompson Concrete Pump Trailer
ECHE|Echelon Motorcycles
TOHA|Tohatsu
CHAG|Charger Pick-up Campers
FWD|FWD Corp.
IOWA|Iowa Manufacturing Co.Cedar Rapids, Iowa
ROLY|Royal Land Yacht
IMPA|Impala Mobile Homes & Travel Trailers
FOR|Forte Trailer
YSOB|Ysob Co.
STIL|Stillwater Supply Co.
CFBT|Custom Fab Body Bodies andTrailers, Inc.Indiana, Pennsylvania
FOST|Foster Flatbed Trailer
ALTA|Alta
BUG|Bug
HORT|Hornet Flatbed Trailer
RCCM|RC COMPONENTS
DDTI|D & D Trailer Inc.Trenton, New Jersey
AVEN|Avenger
BIGV|Big Valley Trailers, Inc.Wynne, Arkansas
BALI|Balko, Inc.
LOLA|Lola
NECT|Neckover Trailer Mfg. Co.Troup, Texas
ASI|ASI Trailer
LEWI|Lewis-Shepard
STAO|Starcraft Corp.
VIRI|Virginian Coach Camper Corp.
GRES|Great Escape
PAND|PANDA MOTOR SPORTS NORTH AMERICA, INC.
STID|Stidham Horse Trailer
CARW|Carnes Welding & Fabricating Co.Crescent, Oklahoma
PAIS|Paris
MANN|Manning, Richard
ZNEL|Zanella
GILB|Gilbern
DEER|Deere, JohnDeere & Co.
HERD|Herd Seeder Co., Inc.
OPL|Opel
ARMC|ARMOR CHASSIS, LLC; RIDGELAND, SC
KUTK|Kut-Kwick Corp.Mfrs. industrial mowers--Brunswick,Georgia
AIRO|Air-O-Motor Home
SEID|Seiden Mobile Homes
ROLL|Rollfast
AUPR|Austin Products, Inc.Subsidiary Austin Industries, Inc.
ADMT|Adams Trailer Mfg.
DAVC|Davenco, Inc.Roscoe, Illinois
ROLR|ROLLS RITE TRAILERS, INC; MARIANNE, FL
MOBB|Mobilaire Mobile Homes
ROCK|Rockford
ETNY|E. D. Etnyre & CompanyOregon, Illinois
DALW|Dalewood Manufacturing Co., Inc.Lauderdale, Mississippi
TARA|Tara Products, Inc.White Pigeon, Michigan
GROE|Gronewegen B.V.Netherlands
JTIL|J.T. Ind., Ltd.Lenox, Iowa
CHEO|Cherokee Camper
HANS|Hanson Machinery Co.
NELN|Nelson-Dykes Co.
KUBO|Kubota Tractor Corp.Compton, California
SOPK|Sopko Mfg., Inc.
JDHS|JD HANDLING SYSTEMS OR D.J. STEELE & CONSTRUCTION
TWKL|TWINKLE; HEARSES
BOWS|Bowsman TrailersThree Rivers, Michigan
EGLR|Eaglerock Trailers, Inc.
GARR|Garrett-Weldco Industries, Inc.
HNLC|H.N.L. CORP AND OR HENRY L. LANCIANI CORP.
DIXI|DixieFruehauf Corp. Plant
HWKT|HAWK TRAILERS, LLC; MANAWA, WI
MVAU|M.V. Agusta
LONC|Lone Star Classics
PAMU|PACE AMERICAN OF UTAH, INC.; HURRICAN UTAH
STMC|Supertrail Mfg. Co., Inc.Aberdeen, Misssippi
VLCT|Velocette
VERN|Vermeer Manufacturing Co.
MOTO|Motoroam Industries, Inc.Galva, Illinois
HORI|Horizon Mobile Homes
FONA|Fontaine Truck Equipment Co.Birmingham, Alabama
OPER|Open Roadsters of Texas
BALK|Balkan
BUTE|Butler, L. T.
MGNO|Mgnol Tandem Boat Trailer
CHAL|Chamberlin TrailersHampton, Iowa
CIRH|Circle H Horse Trailer
RPII|H & H SnowmobilesCleveland, OH
XCEL|X-CEL TRAILERS, INC.; FORNEY, TX
TRMN|Transmission (Generic Code--for useonly when manufacturer is notlisted)
AMRI|Americana Mobile Homes, Inc.
SCAN|ScaniaOrange, Connecticut (Saab-Scania ofAmerica, Inc.)
BILL|Bills Welding Model Trailer
SUNB|Sunbeam
NDMC|NISSAN DIESEL MOTOR CO.
BUCI|Bucita Pop Top Trailer
KANZ|Kanzol Enterprises, Inc.
JIEE|JI-EE Ind., Co., Ltd.
WELC|Welch Mfg. & Engineering Co.
OTPE|Outdoor Power Equipment
INRP|Intrapid Trailer
MAKV|Mark V Trailer
BELU|Belarus Machinery, Inc.
FIRE|Firestone Tractor
PEER|Peerless
CLAI|Classic Motor Carriages, Inc.(Hallandale, FL)
ANGE|Angelus Trailer Mfg. Co.
SWGN|SOUTHWEST GOOSENECK; SAN ANTONIO, TX
SANG|Sangyong
VIND|Vindale Corp.
STEE|Steed-Pollak Mfg. Co.
PAUL|Pauli Cooling Systems, Inc.
HENR|Henry J.
ARRO|Arrow
HOWS|Howse Implement Co., Inc.
ERIG|Erie-Go Mfg., Inc.
MOBV|Mobile Tops, Inc.
BLIX|Blix Coach
CLAZ|Clayton Craft
TRAM|Trail-Wide Corp.
JETM|Jetmobile
GEHL|Gehl Co.
TODC|Todco
RACI|Racine Construction Tool Div.,Racine Federated, Inc.
BBCB|B & B Custom Built TrailersNewport, Arkansas
CAVE|Caveman Industries
GNMI|General Marine Industries
GRIF|Griffith
RVII|RV Industries, Inc.
JASO|Jason Mfg.
PUMM|Puma
VREN|VOR ENDURO MOTORCYCLE, ITALY
ROUL|Roulette Caravan Co.
TRNS|Transliner Insulated Tank Trailer
BENS|Benson Truck Bodies, Inc.Mineral Wells, West Virginia
BTVS|Batavus Mo-ped
CAPE|CapreCarrocerias Preconstruidas SASan Nicholas, Mexico, bus trailers
ROTE|Rotech, Inc.
BLUJ|Blue, John Co.Huntsville, Alabama
HRTL|HEARTLAND TRAILER MANUFACTURING & SALES, INC.; SIKESTON, MO BARLOW TRAILERS
AMEL|American Economobile Hilif
ABIA|ABI Leisure Inc.Ontario, Canada
CROF|Crofton Cub
STAG|Stage Coach Mfg. Co.
BASS|Bass Trail Trailer Co., Inc.Mfrs. boat trailers--Midway, Arkansas
BULM|BULK MANUFACTURING COMPANY; PLANT CITY, FLORIDA
MOBT|Mobile Scout Mfg. Corp.Arlington, Texas
MNTE|Montebello Mobile Home Trailer
PATZ|Patz Co.
LBAU|LEBEAU ENTERPRISES; LEXINGTON, NC
LIBH|Liberty Homes, Inc.Goshen, Indiana
DROT|Drott Manufacturing Co.Div. J. I. Case Co.
KLCL|Kelly-Creswall Co., Inc.Xenia, Ohio
WOLF|G.T.Wolfe Mobile Homes
BROW|Brown TrailerDiv. Clark Equipment Co.
RFCM|RFC Mfg., Inc.
TATR|Tatra
BANH|Bankhead Enterprises, Inc.Atlanta, Georgia
MOTB|MOTOBECANE; SCOOTERS & CYCLES
BRDL|Bradley GT
DIAD|Diamond Mobile Home Mfg.
SEXT|SEXTON MOTORCYCLE COMPANY
KOOL|Kools Brothers, Inc.
FEYF|Fey, Frank & Co.
HSMI|H & S Mfg. Co., Inc.
DEWL|D & E WELDING; LYONS, GA
SPAM|SpacemasterColumbia, Tennessee
SPMC|Speedster Motorcars
LNCI|Lancia
NORU|Northern Star Mobile Home
WAGN|Wagner
CHIM|Chipmore Mfg. Co., Inc.Mfrs. chippers--Bay City, Michigan
VAGA|VagabondDiv. Guerdon Industries
BLAK|Black Diamond Enterprises
GATE|Gates, Walter C.
STRI|Strick Trailers Corp.Fort Washington, Pennsylvania
RAMS|Ramses
CATC|Classic Aluminum Trailer Corp.
ALED|Allied
SPOM|Shalimar Mobile HomesMfd. by Sportcraft Homes
WAYC|Wayne Corp.Richmond, IN
LACH|Lawn Chief
WMEI|W & M ENTERPRISES, INC.; LAWRENCEBURG, INDIANA
MLLR|Miller
HIAB|Hiab Cranes and Loaders, Inc.Newark, Delaware
LITP|Little Prince Travel TrailerMfrs. boat trailers
CLOU|Clough Equipment Co.Seattle, Washington
PRIO|Prior Products, Inc.Dallas, Texas
NEWP|Newport Homes, Inc.
ENPR|Enterprise Motor Home
FLOI|Florida Wholesale Distributor
GLAS|Glas
HUTC|HUTCO BOAT TRAILER
ROCB|Rockin-Bar Trailers Ltd.Durant, Oklahoma
MYFA|Mayfairer Motor Home
CUSF|Custom Craft Mfg. Co.
SPCT|Spector Manufacturing, Inc.
MORD|GrasshopperMfd. by Moridge Mfg., Inc.
MAJO|Major Way
BADR|Badger Machine Div.Ronco Engineering Co.
KNBR|Ken-Bar
CHLG|Challenger Trailer
SKYH|Skyhomes, Inc.Div. Skyline Homes
BRTE|Brute Equipment Inc.Glen Alan, Mississippi
SALM|The Salem Tool Co.
KOMC|K & O MANUFACTURING CO., INC.;HULL, IA
KRAE|Krager Kustom Koach, Inc.
FERE|Ferree Trailer Corp.Climax, North Carolina
GEOR|Cruisemaster Motor HomeMfd. by Georgie Boy Mfg., Inc.Edwardsburg, Michigan
PADG|Padgett, Inc.
BMMM|Beatrice Motor Mart Mfg. & Easy-Haul
HERB|Herbst Brothers
DAEW|Daewoo
LULL|Lull Engineering Co.Subsidiary N. Marshal Seeburg & Sons,Inc.
SHOO|Shoops Horse Trailer
NEWM|Newham Enterprises
FIAA|Fiat-Abarth
LASE|Laser
LICO|Linco Trailer Home
LNDR|Land Rover
BAUG|Baughman Mfg. Co.
REDR|Red River Custom TrailerClarksville, Texas
BIBK|Big Inch Bikes
BETT|Better Built
HRVY|FORCE MANUFACTURING, INC. AND/OR HARVEY; BANGOR MAINE, NANCY HARVEY
CARE|Cardinal Industries
MERT|Merit Tank & BodyBerkeley, California
MTBE|Lemoped (model of Motobecane)
KNTC|Kinetic
CHIS|Chisolm Trailers, Inc.Chickasha, Oklahoma
GEEB|Gee-Bee-Dee Manufacturing & Supply Co.
CRIM|Crimson HomesDiv. Winston Industries, Inc.
GELT|Gelt Trailers
PORT|Porta-Built Industries
DUCA|Ducati
PLAC|Plastic Engs. & Consultants
SMMO|S M Moon
REYN|Reynolds Mfg. Co.
TRVS|Travis
KEVC|Kevco Ind.
SPAC|Space Age Campers
GOKT|Go Kart
AEAG|American Eagle (also see make Eagle)
BOB|Bob S Trailer
OMNI|Omni Motorsports, Inc.
MTCI|Mississippi Tank Co., Inc.Hattiesburg, Mississippi
CUSH|Cushman
LOCK|LOCKE ENTERPRISES OF NEW YORK, INC; LOCKE,NEW YORK
DSSC|Super CookerMfd. by Deep South Sales Co.
FRCS|Francis Travel Trailer
AJTR|A. J. Travelute Trailer Mfg. Co.
NORI|Norris Homes, Inc.
GLUT|G & L Utility Trailers
PAST|Pastime Mfg. Co.
SKOD|Skoda
SHER|Shertzer Dump Trailer
COMT|Comet Riding Mower
GOGA|Go-Tag-Along
LEYL|Leyland TractorsBritish Leyland - Dist. by UniversalTractor-Equipment Corp. Richmond,Virginia
MELR|Bobcat Skid Steer LoaderManufactured by Melroe Div.
WHIE|White Line Mfg. & Dist. Co.
SPTL|Sportsliner Camping Trailer
SEAF|Seagrave Fire ApparatusClintonville, Wisconsin
ENGI|EconomyGarden tractor--mfd. by EngineeringProducts Co., Inc.
NUWE|NuWay Mobile Home Mfg. Co.
MCCU|McCulloch Mite-E-Lite, Inc.,McCulloch Corp.
NEWC|New Comer Industries, Inc.Goshen, Indiana
REXM|Rex Mobile HomesDiv. of Divco-Wayne Industries
REDM|Country EstateMfd. by Redman Homes, Inc.
FUER|Fuerst Brothers, Inc.
WORR|Worrell Trailer Mfg.
PJTM|P.J. Trailer Manufacturing, IncSumner, TX; utility trailer
SMTS|Southern Missouri Trailer Sales
CMIC|CMI Corp.
SUZI|Suzuki
HAMI|Hamilton Trailer
BRCV|BROWN CARGO VAN, INC.; LAWRENCE, KS
CUBS|Cubster
GLNL|Glen-L TrailersLewiston, Idaho
GRVE|Clark-Gravely Corp.Gravely tractors
MOUA|Mount Vernon Mobile HomeDiv. Concord Mobile Homes
DESA|De Soto Coach Co.
WARM|Warrior Mfr.Henderson, Texas
VACD|Big SurMfg. by Vacation Industries
PNNT|Penn Trailer
MIKA|Mikasa
VACT|VACTRON TRAILERS, MANUFACTURED BY: A COMPLETE ASSEMBLY;MASCOTTE, FL
ASA|ASA
MASE|Maserati
LOOD|Loodcraft
BENT|Bentley
COUR|Courthouse Camper Trailer
GLAD|Gladding Travel Trailer
WILC|Will Craft Camper Trailer
INTR|International Trailer Corp.
AVAO|Avalon Mobile Homes
CORG|Corder Mfg. Co., Inc.
ALTC|THE ALUMINUM TRAILER COMPANY; NAPPANEE, INDIANA
PDV|PDV
BKDN|BUCK DANDY COMPANY; TEXAS
PGRM|Pilgrim Intl., Inc.
ATHE|Athey Products Corp.
EJAY|El-Jay Div. Iowa Mfg. Co.
NAMC|N & Ha Mfg. Co.
FLOA|Float-On of FloridaBoat Trailers--Ft. Pierce, Florida
RIME|Rimer, Inc.
ELLS|Ellis Trailer Co.Sylmar, California
MEDA|Medallion Mobile Homes
SUNN|Sun Valley
STEC|Steco Trailer Co.
FUQU|Fuqua Homes, Inc.Div. Fuqua Industries--Arlington, Texas
ARTI|Artie
CLEN|Clenet Coach Works
JMGL|Jimglo Trailers & ProductsPhoenix, AZ; car trailers andutility trailers
WATR|Walter Products & Engineering Co.
SIEM|SIEMS ENTERPRISES; SHELLEY, IDAHO TRAILERS
SAGE|Sage Mfg. Co.
BACC|Bar-C Horse Trailer
SMAL|Smalley Mfg. Co.
AERI|Aeroil Products Co., Inc.Bensenville, Illinois
UDMP|U-Dump, Inc.Ocala, Florida
NVTA|NVT America (moped)
HESS|Hesse Corp.Kansas City, Missouri
WICT|Williams Craft, Inc.
VANO|Van Car Corp.
SNWC|SNOW Co.
CORO|Corona Coach Co.
DCNT|DISCOUNT TRAILERS; FORT WORTH, TX
IKA|I. K. A.
EVLT|EVERLITE, INC.; LONGVIEW, TX - FLEETRITE & OTHER MODEL OR SERIES
GRYE|Grycner
BUIC|Buick
VANS|Vanson Boat Trailer
PARR|Parker
HITC|Hitching Rail Trailer
TROT|Trotwood Trailer
BONC|Bonanza Travel Coach, Inc.
AELI|Aero Liner Co.
NICK|Nickel & HolmanFenton, Michigan
CJGC|China Jiangmen Group Co., Ltd.
KAZU|Kazuma (Stannic Mfg. Co., Ltd.)
CHMP|Champ Horse Trailer
THOE|THOMAS EQUIPMENT LTD.; NEW BRUNSWICK, CANADA
ROTI|Rockett TrailersMedley, FL; boat trailers
ANDR|Andrews Payloader
SHTR|S & H Trailer Mfg. Co., Inc.Madill, Oklahoma
IJBD|International Jet Boats De Mexico S.A.De C. V.Mexico; trailers
LRNG|LORANGER ENTERPRISES, INC.; SAN ANTONIO, TX
STPK|Stewart Park Homes, Inc.
SNUB|SNUB-HARBOR OR DAY'S DRYDOCK TRAILERS; INDIANA
CROW|Crown Line
FOUN|Fountain Flatbed Trailer
FERT|Fertilizer Dealer Supply, Inc.Philo, Illinois
ITAS|Itasca Motor HomesDiv. Winnebago Ind., Inc.,Forest City, Iowa
XYZ|XYZ Trailer
MOLY|Mobility, Inc.Minneapolis, Minnesota
OLAT|Olathe Mfg. Co., Inc.
HELM|Helm Mfg. Co.
BMBR|Bombardier Inc.Valcourt, Quebec; Ski-Doo/Moto Ski
LABE|Lady Bea TrailersMalden, Massachusetts
PRTT|Port Trailer Mfg. Co.City of Industry, California
SPAT|Spartan Aircraft Co.
AATM|ALL-AMERICAN TRAILER MFG. CO., INC.; SELMA, AL
CAMU|Camp-Mor, Inc.
GASE|Garber Seeders, Inc.
SEAW|Sears, Wendell
OCCH|Orange County Choppers
CEVA|Ceva Mfg. Co.
ZIPP|Zipper, Inc.
SWEM|SMPMfd. by Sweetwater Metal Products Co.,Inc.
SUPM|Supreme Industries, Inc.Louisville, Tennessee
WARO|Wain-Roy, Inc.
